lat,lon,date
41.3767986,2.1460575,05/28/2014 09:55
41.3787298,2.1458162,05/28/2014 10:10
41.3787278,2.1457944,05/28/2014 12:25
41.3787163,2.1458125,05/28/2014 12:55
41.3781103,2.1458367,05/28/2014 14:10
41.3747732,2.1490913,05/28/2014 14:25
41.3708983,2.1496303,05/28/2014 14:40
41.3704918,2.1491767,05/28/2014 15:10
41.3720497,2.1508894,05/28/2014 15:25
41.3715502,2.1504336,05/28/2014 15:40
41.3764935,2.1477356,05/28/2014 15:55
41.3789534,2.1460887,05/28/2014 16:10
41.3787751,2.1458961,05/28/2014 16:25
41.3803202,2.1492248,05/28/2014 19:25
41.3787078,2.1458342,05/28/2014 19:40
41.3787319,2.145859,05/28/2014 21:25
41.3787664,2.1458492,05/29/2014 07:55
41.3793071,2.146604,05/29/2014 09:40
41.3983691,2.1684677,05/29/2014 10:55
41.3953811,2.1600479,05/29/2014 11:25
41.3957163,2.160428,05/29/2014 11:55
41.3913813,2.161562,05/29/2014 12:25
41.391502,2.1616862,05/29/2014 12:55
41.3870177,2.1705633,05/29/2014 14:25
41.3867894,2.1686021,05/29/2014 15:25
41.3857312,2.1687122,05/29/2014 15:40
41.3792219,2.1466711,05/29/2014 16:25
41.3787663,2.1458948,05/29/2014 16:29
41.3787679,2.1459241,05/29/2014 16:43
41.3787775,2.1459034,05/29/2014 17:10
41.378736,2.1458008,05/29/2014 17:24
41.3787227,2.1458067,05/29/2014 17:39
41.3758124,2.1482936,05/29/2014 18:10
41.371975,2.1507717,05/29/2014 18:24
41.37048,2.1467313,05/29/2014 18:39
41.3693464,2.1524444,05/29/2014 18:54
41.3732943,2.1512919,05/29/2014 19:10
41.3767006,2.1501293,05/29/2014 19:24
41.3788195,2.1460092,05/29/2014 19:55
41.3787267,2.145835,05/29/2014 20:09
41.3787411,2.1458169,05/29/2014 20:39
41.3787383,2.1458368,05/30/2014 03:09
41.378736,2.145829,05/30/2014 03:54
41.3787452,2.1457887,05/30/2014 10:24
41.3792493,2.1465739,05/30/2014 10:39
50.4893042,19.0983815,05/30/2014 16:10
50.4492979,19.0605598,05/30/2014 16:39
50.4487039,19.0594976,05/30/2014 16:55
50.3284979,19.2424844,05/30/2014 17:10
50.3063515,19.4756748,05/30/2014 17:25
50.0973304,19.8953944,05/30/2014 17:59
50.0897229,19.9181189,05/30/2014 18:10
50.0689532,19.9463832,05/30/2014 18:25
50.0629994,19.9398983,05/30/2014 18:40
50.0623877,19.9349159,05/30/2014 18:55
50.0626007,19.9351917,05/30/2014 19:24
50.0625808,19.935131,05/30/2014 19:39
50.0629921,19.9341694,05/30/2014 19:55
50.0619015,19.9370671,05/30/2014 20:25
50.0622728,19.9348871,05/30/2014 20:54
50.0626073,19.9350316,05/30/2014 21:39
50.0641357,19.9353627,05/31/2014 06:55
50.0279986,19.2016098,05/31/2014 08:24
50.0514717,19.213068,05/31/2014 12:55
50.0725352,19.4339893,05/31/2014 13:10
50.0340482,19.6125103,05/31/2014 13:25
50.0357467,19.8359321,05/31/2014 13:40
50.0627453,19.930684,05/31/2014 13:55
50.06162,19.9380637,05/31/2014 14:09
50.0623075,19.9356297,05/31/2014 14:40
50.0633891,19.9334855,05/31/2014 15:10
50.0625855,19.9350852,05/31/2014 15:24
50.0555732,19.9355354,05/31/2014 15:55
50.0537283,19.9343361,05/31/2014 16:09
50.0522944,19.9349178,05/31/2014 16:25
50.0536635,19.9292626,05/31/2014 16:40
50.056137,19.9310351,05/31/2014 16:55
50.0520741,19.93419312,05/31/2014 17:26
50.0530535,19.9299838,05/31/2014 17:40
50.0531695,19.9318635,05/31/2014 17:55
50.0502566,19.9370347,05/31/2014 18:10
50.0513223,19.9478283,05/31/2014 18:25
50.0549321,19.9504634,05/31/2014 18:40
50.0524154,19.9450718,05/31/2014 19:40
50.0530348,19.9472086,05/31/2014 19:55
50.0524154,19.9450718,05/31/2014 20:55
